rank,score,name,season,user_score,date,imdb_id
92,73,arthur-george,season-1,tbd,Sep 6; 2015,tt4439928
93,73,cucumber,season-1,6.7,Apr 13; 2015,tt3848112
94,73,battle-creek,season-1,7.7,Mar 1; 2015,tt3215364
95,73,the-wiz-live!,season-1,6.7,Dec 3; 2015,tt4718770
96,73,episodes-us,season-4,8.1,Jan 11; 2015,tt1582350
97,73,its-me-hilary-the-man-who-drew-eloise,season-1,tbd,Mar 23; 2015,tt4322280
98,73,halt-and-catch-fire,season-2,8.5,May 31; 2015,tt2543312
99,73,jonathan-strange-mr-norrell,season-1,8.4,Jun 13; 2015,tt2548418
100,72,bates-motel,season-3,7.7,Mar 9; 2015,tt2188671
101,72,masters-of-sex,season-3,7.3,Jul 12; 2015,tt2137109
102,72,marvels-agent-carter,season-1,7.8,Jan 6; 2015,tt3475734
103,72,banana,season-1,6.3,Apr 13; 2015,tt3848126
104,72,the-last-man-on-earth,season-1,7.6,Mar 1; 2015,tt3230454
105,72,hindsight,season-1,7.9,Jan 7; 2015,tt3597470
106,72,poldark,season-1,7.4,Jun 21; 2015,tt3636060
107,72,late-show-with-stephen-colbert,season-1,6.7,Sep 8; 2015,tt3697842
108,71,inside-amy-schumer,season-3,7.6,Apr 21; 2015,tt2578508
109,71,bosch,season-1,7.8,Feb 13; 2015,tt3502248
110,71,ray-donovan,season-3,7.7,Jul 12; 2015,tt2249007
111,71,the-grinder,season-1,7.1,Sep 29; 2015,tt4481322
112,71,mozart-in-the-jungle,season-2,7.8,Dec 30; 2015,tt3502172
113,70,red-oaks,season-1,7.0,Oct 9; 2015,tt3973820
114,70,saints-strangers,season-1,5.7,Nov 22; 2015,tt4705002
115,70,grantchester,season-1,7.8,Jan 18; 2015,tt3747572
116,70,orphan-black,season-3,7.6,Apr 18; 2015,tt2234222
117,70,quantico,season-1,5.9,Sep 27; 2015,tt0452046
118,69,public-morals,season-1,7.6,Aug 25; 2015,tt3597854
119,69,the-jim-gaffigan-show,season-1,6.3,Jul 15; 2015,tt3484406
120,69,empire-2015,season-1,7.1,Jan 7; 2015,tt3228904
121,69,the-nightly-show-with-larry-wilmore,season-1,2.7,Jan 19; 2015,tt3722332
122,68,big-time-in-hollywood-fl,season-1,7.6,Mar 25; 2015,tt3260472
123,68,becoming-us,season-1,5.0,Jun 8; 2015,tt4604692
124,68,another-period,season-1,6.6,Jun 23; 2015,tt3593432
125,68,a-very-murray-christmas,season-1,5.1,Dec 4; 2015,tt4537842
126,68,odd-mom-out,season-1,5.7,Jun 8; 2015,tt4324796
127,68,luther,season-4,7.3,Dec 17; 2015,tt1474684
128,68,turn,season-2,7.2,Apr 13; 2015,tt2543328
129,68,billy-billie,season-1,8.5,Mar 3; 2015,tt4277268
130,67,nightingale,season-1,5.4,May 29; 2015,tt0239718
131,67,the-returned-2015,season-1,5.8,Mar 9; 2015,tt3230780
132,67,i-am-cait,season-1,4.3,Jul 26; 2015,tt4733278
133,67,murder-in-the-first,season-2,6.6,Jun 8; 2015,tt2402061
134,67,the-late-late-show-with-james-corden,season-1,6.2,Mar 23; 2015,tt4280606
135,67,dates,season-1,7.7,Jul 9; 2015,tt2964118
136,67,7-days-in-hell,season-1,7.4,Jul 11; 2015,tt3895884
137,66,man-seeking-woman,season-1,7.2,Jan 14; 2015,tt4189492
138,66,fear-the-walking-dead,season-1,5.9,Aug 23; 2015,tt3743822
139,66,breakthrough,season-1,tbd,Nov 1; 2015,tt4622776
140,66,other-space,season-1,8.1,Apr 14; 2015,tt4561950
141,66,wayward-pines,season-1,7.7,May 14; 2015,tt2618986
142,66,the-bomb,season-1,tbd,Jul 28; 2015,tt4840922
143,66,the-strain,season-2,7.3,Jul 12; 2015,tt2654620
144,65,sons-of-liberty,season-1,6.5,Jan 25; 2015,tt3782838
145,65,tyrant,season-2,8.1,Jun 16; 2015,tt2568204
146,65,blindspot,season-1,6.7,Sep 21; 2015,tt4474344
147,65,ballers-2015,season-1,7.0,Jun 21; 2015,tt2891574
148,65,the-spoils-before-dying,season-1,5.0,Jul 8; 2015,tt3864034
149,65,the-expanse,season-1,8.6,Dec 14; 2015,tt3230854
150,65,dolly-partons-coat-of-many-colors,season-1,7.3,Dec 10; 2015,tt4767274
151,65,the-spymasters---cia-in-the-crosshairs,season-1,7.6,Nov 28; 2015,tt4965308
152,64,requiem-for-the-dead-american-spring-2014,season-1,tbd,Jun 22; 2015,tt4857514
153,64,the-daily-show-with-trevor-noah,season-1,5.7,Sep 28; 2015,tt0115147
154,64,ferrell-takes-the-field,season-1,5.5,Sep 12; 2015,tt4861558
155,64,breaking-greenville,season-1,6.7,Jan 29; 2015,tt4262344
156,64,life-in-pieces,season-1,6.7,Sep 21; 2015,tt4384086
157,64,the-carmichael-show,season-1,5.2,Aug 26; 2015,tt4307902
158,63,sense8,season-1,8.1,Jun 5; 2015,tt2431438
159,63,funny-or-die-presents-americas-next-weatherman,season-1,tbd,Aug 8; 2015,tt4965308
160,63,the-league,season-7,7.0,Sep 9; 2015,tt1480684
161,63,descendants,season-1,7.4,Jul 31; 2015,tt3440298
162,63,telenovela,season-1,7.0,Dec 7; 2015,tt4363588
163,63,extant,season-2,6.1,Jul 1; 2015,tt3155320
164,63,kevin-from-work,season-1,6.0,Aug 12; 2015,tt4334446
165,62,grandfathered,season-1,5.6,Sep 29; 2015,tt4465368
166,62,the-muppets-2015,season-1,6.4,Sep 22; 2015,tt4651824
167,62,gotham,season-2,7.8,Sep 21; 2015,tt3749900
168,62,schitts-creek,season-1,7.6,Feb 11; 2015,tt3526078
169,62,the-slap-2015,season-1,4.5,Feb 12; 2015,tt3476576
170,61,galavant,season-1,7.0,Jan 4; 2015,tt3305096
171,61,true-detective,season-2,6.4,Jun 21; 2015,tt2356777
172,61,white-people,season-1,2.2,Jul 22; 2015,tt0089277
173,61,the-whispers,season-1,6.6,Jun 1; 2015,tt3487410
174,61,childhoods-end,season-1,5.4,Dec 14; 2015,tt4146128
175,60,the-casual-vacancy,season-1,5.7,Apr 29; 2015,tt2554946
176,60,sexdrugsrockroll,season-1,7.2,Jul 16; 2015,tt3594982
177,60,the-astronaut-wives-club,season-1,6.1,Jun 18; 2015,tt3530726
178,60,american-horror-story,season-5,7.8,Oct 7; 2015,tt1844624
179,59,american-odyssey,season-1,7.4,Apr 5; 2015,tt3551796
180,59,proof,season-1,6.6,Jun 16; 2015,tt1714204
181,59,supermansion,season-1,6.8,Oct 8; 2015,tt4843640
182,59,scream-queens-2015,season-1,7.5,Sep 22; 2015,tt4145384
183,59,the-seventies,season-1,4.3,Jun 11; 2015,tt4491456
184,59,the-making-of-the-mob-new-york,season-1,7.1,Jun 15; 2015,tt4484722
185,58,aquarius,season-1,6.1,May 28; 2015,tt3768572
186,58,weird-loners,season-1,7.4,Mar 31; 2015,tt3549436
187,58,dark-matter,season-1,7.8,Jun 12; 2015,tt4159076
188,58,grace-and-frankie,season-1,8.1,May 8; 2015,tt3609352
189,58,the-jack-and-triumph-show,season-1,6.2,Feb 20; 2015,tt3722188
190,57,limitless-2015,season-1,7.5,Sep 22; 2015,tt4422836
191,57,superstore,season-1,6.5,Nov 30; 2015,tt4477976
192,57,allegiance-2015,season-1,6.2,Feb 5; 2015,tt3581654
193,57,scream-2015,season-1,5.6,Jun 30; 2015,tt3921180
194,57,the-comedians,season-1,6.3,Apr 9; 2015,tt2980734
195,57,12-monkeys-2015,season-1,8.0,Jan 16; 2015,tt3148266
196,56,the-messengers-2015,season-1,6.4,Apr 17; 2015,tt3513704
197,56,blunt-talk,season-1,5.9,Aug 22; 2015,tt4197508
198,55,complications,season-1,6.3,Jun 18; 2015,tt0413573
199,55,the-art-of-more,season-1,3.2,Nov 19; 2015,tt4633680
200,55,compared-to-what-the-improbable-journey-of-barney-frank,season-1,tbd,Oct 23; 2015,tt2452352
201,55,startalk,season-1,8.0,Apr 20; 2015,tt0452919
202,55,the-bastard-executioner,season-1,6.1,Sep 15; 2015,tt4218618
203,55,ad-the-bible-continues,season-1,5.9,Apr 5; 2015,tt4074084
204,55,clipped,season-1,7.7,Jun 16; 2015,tt2361094
205,55,the-secret-life-of-marilyn-monroe,season-1,tbd,May 30; 2015,tt4067076
206,55,zoo,season-1,5.2,Jun 30; 2015,tt3250026
207,54,into-the-badlands,season-1,8.1,Nov 15; 2015,tt3865236
208,54,whitney-2015,season-1,3.0,Jan 17; 2015,tt3750942
209,54,eye-candy,season-1,7.8,Jan 12; 2015,tt3186162
210,53,sharknado-3-oh-hell-no!,season-1,3.6,Jul 22; 2015,tt3899796
211,53,killjoys,season-1,7.6,Jun 19; 2015,tt3952222
212,53,code-black-2015,season-1,7.0,Sep 30; 2015,tt4452630
213,53,killing-jesus,season-1,4.2,Mar 29; 2015,tt3609402
